Date,Open,High,Low,Close,Volume,"BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)"
09/15/2009,105.45,106.11,104.76,105.72,196795872,106.301636553244,98.848363446756
09/16/2009,106.1,107.34,105.7288,107.32,206406256,106.89603334811,99.0769666518899
09/17/2009,107.17,108.06,106.57,107.16,229170880,107.398379934053,99.2946200659469
09/18/2009,107.15,107.16,106.36,106.72,153799056,107.786899854351,99.479100145649
09/21/2009,105.89,107,105.66,106.45,151892000,108.12359171106,99.4904082889403
09/22/2009,107.08,107.37,106.6,107.07,143126624,108.534667069005,99.4903329309946
09/23/2009,107.32,108.03,105.99,106.18,225947312,108.76274461189,99.5642553881105
09/24/2009,106.41,106.64,104.55,105.01,228636688,108.845173082039,99.665826917961
09/25/2009,104.78,105.36,104.09,104.45,204058944,108.881320894054,99.7346791059458
09/28/2009,104.85,106.55,104.83,106.32,118285744,109.088165224768,99.8218347752317
09/29/2009,106.51,107.02,105.78,106,133733808,109.21700861504,100.04699138496
09/30/2009,106.36,106.46,104.62,105.59,254382944,109.023005914102,100.779994085898
10/01/2009,105.34,105.7331,102.95,103,281840640,108.588176147265,101.532823852735
10/02/2009,102.02,103.1,101.99,102.49,224748752,108.289638026926,102.015361973074
10/05/2009,102.9,104.32,102.6,104.02,149874944,108.104798337592,102.396201662408
10/06/2009,104.77,106.11,104.71,105.51,202491008,108.029802897236,102.728197102764
10/07/2009,105.27,105.91,105.07,105.8,159200256,108.027203322587,102.937796677413
10/08/2009,106.55,107.17,105.8449,106.61,183305744,108.142688782475,103.004311217525
10/09/2009,106.64,107.26,106.36,107.26,135008256,108.33967825444,103.05632174556
10/12/2009,107.76,108.09,107.28,107.68,118031008,108.587762444689,103.048237555311
10/13/2009,107.39,107.7132,106.76,107.46,157692688,108.764828666198,103.045171333802
10/14/2009,108.72,109.42,107.4174,109.31,191421504,109.175837099711,102.833162900289
10/15/2009,108.78,109.71,108.73,109.71,173873568,109.663496000284,102.600503999716
10/16/2009,108.8,109.27,108.23,108.89,192069376,109.965622682544,102.515377317456
10/19/2009,109.07,110.13,108.73,109.79,159530368,110.44185186864,102.37314813136
10/20/2009,109.95,109.985,108.68,109.211,180921008,110.72338563352,102.30571436648
10/21/2009,109.04,110.31,108.15,108.23,225787440,110.887698825413,102.346401174588
10/22/2009,108.19,109.68,107.5,109.33,238443936,111.192787949695,102.473312050305
10/23/2009,109.69,109.76,107.63,108.08,240033184,111.263165938162,102.765934061838
10/26/2009,108.2,109.31,106.61,106.91,242028192,111.281143648952,102.806956351048
10/27/2009,107.03,107.39,106.16,106.42,253266320,111.285367309161,102.844732690839
10/28/2009,106.15,106.4783,104.35,104.41,248821376,111.338700203973,102.673399796027
10/29/2009,105.19,106.86,104.94,106.65,198110560,111.119745720136,103.257354279864
10/30/2009,106.3,106.62,103.44,103.56,325607936,110.938108899691,103.545991100309
11/02/2009,104.13,105.41,103.08,104.32,254489744,110.902774261378,103.611325738622
11/03/2009,103.74,104.8,103.54,104.65,228362496,110.9600898543,103.4680101457
11/04/2009,105.51,106.33,104.65,104.92,247996688,111.001198155577,103.338901844423
11/05/2009,105.66,106.88,105.44,106.8501,180015184,111.00760883048,103.35650116952
11/06/2009,106.26,107.4,106.05,107.13,170954064,111.000998761175,103.350111238825
11/09/2009,107.95,109.63,107.87,109.57,159495632,111.231630367187,103.308479632813
11/10/2009,109.31,109.93,108.97,109.59,171899744,111.465310743488,103.287799256512
11/11/2009,110.31,110.82,109.62,110.15,169466192,111.602049358775,103.235060641225
11/12/2009,110,110.57,108.75,109.03,157144496,111.503560706466,103.265549293534
11/13/2009,109.31,110.09,108.75,109.62,150962944,111.605197558506,103.236912441494
11/16/2009,110.38,111.69,110.32,111.21,210922128,111.877910185696,103.106199814304
11/17/2009,110.92,111.39,110.5,111.339,147134064,112.241652675513,102.955257324487
11/18/2009,111.26,111.43,110.57,111.27,156486752,112.657913341534,102.842996658466
11/19/2009,110.51,111.3059,109.13,109.82,208734496,112.718471682877,102.831438317123
11/20/2009,109.25,109.76,109.01,109.43,134196000,112.837388082024,102.847521917976
11/23/2009,110.72,111.74,110.6,110.82,148010128,113.1756330625,102.9002769375
11/24/2009,111,111.2022,110.01,110.99,138420064,113.501552433086,103.031357566914
11/25/2009,111.17,111.5,110.82,111.38,109564752,113.702667609206,103.527242390795
11/27/2009,108.4,110.32,108.29,109.57,126001808,113.781887996355,103.740022003645
11/30/2009,109.48,110.2,108.12,109.94,160874816,113.515128840322,104.644781159678
12/01/2009,110.92,111.66,110.73,111.3,159613632,113.383426979152,105.474483020849
12/02/2009,111.28,112.01,110.92,111.25,132315056,113.120176122434,106.397733877566
12/03/2009,111.55,112.18,110.29,110.38,167324816,112.5605383413,107.5033716587
12/04/2009,111.84,112.38,110.04,111.01,274907904,112.334504890658,108.145395109342
12/07/2009,110.91,111.53,110.49,110.84,127973808,111.970498021907,108.880401978093
12/08/2009,110.04,110.7725,109.27,109.61,169863632,111.968160936555,108.886739063445
12/09/2009,109.58,110.18,109.02,110.021,155063376,111.953894813602,108.944105186398
12/10/2009,110.7,111.12,110.45,110.64,138014624,111.97407435671,108.97292564329
12/11/2009,111.11,111.36,110.61,111.11,124854000,111.945983613354,109.209016386646
12/14/2009,111.87,112,105.476,111.87,107141504,112.094589762176,109.285410237824
12/15/2009,111.46,111.92,111,111.35,120408752,112.11323317289,109.28076682711
12/16/2009,111.8,112.13,111.27,111.52,155358128,112.140770108589,109.271329891411
12/17/2009,110.72,110.93,110.08,110.18,183390064,112.0792329445,109.223867055501
12/18/2009,110.2,110.3,109.28,110.21,174591120,112.062975209919,109.279124790082
12/21/2009,110.76,111.7,110.76,111.33,118104256,112.062259007067,109.469840992933
12/22/2009,111.57,111.97,111.425,111.73,91707440,112.17431725453,109.44878274547
12/23/2009,112,112.11,111.5,111.95,111783056,112.308951045265,109.410148954735
12/24/2009,112.19,112.6,111.9948,112.48,39677472,112.514444180879,109.314655819121
12/28/2009,112.9,112.99,112.32,112.72,87508432,112.730604608684,109.413495391316
12/29/2009,113.01,113.03,112.55,112.562,80572496,112.897179902335,109.509120097666
12/30/2009,112.23,112.65,112.17,112.52,73138368,113.052947392105,109.475352607895
12/31/2009,112.77,112.8,111.39,111.44,90637872,113.064063279107,109.483236720894
01/04/2010,112.37,113.39,111.51,113.33,118944560,113.371674983176,109.470625016824
01/05/2010,113.26,113.68,112.85,113.63,111579872,113.714995003693,109.389304996307
01/06/2010,113.52,113.99,113.43,113.71,116074368,114.024890500675,109.366409499325
01/07/2010,113.5,114.33,113.18,114.19,131091056,114.288961001118,109.560338998882
01/08/2010,113.89,114.62,113.66,114.57,126402752,114.613366170085,109.690833829916
01/11/2010,115.08,115.13,114.235,114.73,106375680,114.95705660606,109.75614339394
01/12/2010,113.97,114.21,113.22,113.66,163333440,115.07761451895,109.89058548105
01/13/2010,113.95,114.94,113.37,114.62,161821936,115.357963016852,109.885236983148
01/14/2010,114.49,115.14,114.42,114.93,115783744,115.646977936957,109.954222063043
01/15/2010,114.73,114.84,113.2,113.64,212283120,115.71192610582,110.10127389418
01/19/2010,113.62,115.13,113.59,115.06,139172624,115.809973490126,110.491226509874
01/20/2010,114.28,114.45,112.98,113.89,216490128,115.640410087583,111.028789912417
01/21/2010,113.92,114.27,111.56,111.7,344859392,115.599450453514,111.106749546486
01/22/2010,111.2,111.7416,109.09,109.21,345942272,116.035792072837,110.418407927163
01/25/2010,110.21,110.41,109.41,109.77,186937440,116.265374751274,109.970825248726
01/26/2010,109.34,110.47,109.04,109.31,211168752,116.512590312402,109.406609687598
01/27/2010,109.17,110.08,108.33,109.83,271863552,116.621360206554,109.008839793446
01/28/2010,110.19,110.25,107.91,108.57,316103936,116.848657096069,108.382342903931
01/29/2010,109.04,109.8,107.22,107.39,310677504,117.166888933823,107.551111066177
02/01/2010,108.15,109.07,107.5008,109.06,187864880,117.246687527697,107.233312472303
02/02/2010,109.26,110.59,108.88,110.38,216327872,117.135732594278,107.049267405722
02/03/2010,109.88,110.4815,109.51,109.83,172730624,116.985884207392,106.819115792608
02/04/2010,108.98,109.03,106.42,106.44,356715520,117.073133717211,106.004866282789
02/05/2010,106.56,106.88,104.58,106.66,493585664,116.943070473576,105.381929526424
02/08/2010,106.74,107.33,105.8099,105.89,224166816,116.720095029706,104.736904970294
02/09/2010,107.13,108.15,106.27,107.22,337820416,116.23472797739,104.47127202261
02/10/2010,107.05,107.6,106.11,107.01,240511504,115.868609010612,104.172390989388
02/11/2010,106.87,108.25,106.25,108.13,223591568,115.197172238716,104.194827761284
02/12/2010,106.99,108.1012,106.51,108.04,304622080,114.337248790303,104.365751209697
02/16/2010,108.86,109.85,107.821,109.74,159317440,113.745348548386,104.567651451614
02/17/2010,110.27,110.41,109.74,110.26,168845056,112.671551397788,105.161448602212
02/18/2010,110.08,111.14,110.035,110.91,193708496,111.907448247986,105.627551752014
02/19/2010,110.62,111.57,110.36,111.14,222684816,111.782849963446,105.696150036554
02/22/2010,111.55,111.58,110.83,111.16,132346816,112.054366003428,105.619633996572
02/23/2010,110.86,111.2,109.52,109.81,207496944,112.058732287011,105.619267712989
02/24/2010,110.14,111,109.86,110.82,176350624,112.243821101968,105.585178898032
02/25/2010,109.24,110.75,108.94,110.67,259634688,112.351503829158,105.561496170842
02/26/2010,110.77,111.12,110.11,110.74,173589248,112.54138605451,105.58861394549
03/01/2010,111.2,112,111.17,111.89,147709632,112.88412854528,105.69587145472
03/02/2010,112.37,112.74,112,112.2,160992368,113.255175941312,105.638824058688
03/03/2010,112.49,112.97,112.02,112.3,150784944,113.532882705043,105.553117294957
03/04/2010,112.45,112.8,112.03,112.641,135770368,113.895817060619,105.471282939381
03/05/2010,113.37,114.34,113.1,114.25,176118752,114.455785111803,105.692314888197
03/08/2010,114.26,114.52,114.07,114.27,114631120,114.905452536564,106.003647463436
03/09/2010,113.93,114.99,113.87,114.46,154556688,115.13954938212,106.62655061788
03/10/2010,114.51,115.275,114.41,114.97,186088816,115.533671742335,107.007428257665
