Date,Time,Open,High,Low,Close,Volume,"Volume Weighted Moving Average - VMA - VMA(Close,60)","Linear Regression - LR - LR(20)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)","Standard Deviation - SD - SD(5,Population)"
03/31/2020,10:12 AM,161.47,161.75,161.32,161.75,218135,0,161.278022857143,161.735669794774,157.219360205226,0.38039766770563
03/31/2020,10:13 AM,161.74,161.7458,161.26,161.5699,271061,0,161.524857142857,161.987493741563,157.318526258437,0.316145172981876
03/31/2020,10:14 AM,161.5503,162.18,161.51,162.15,404669,0,161.835782857143,162.317557990428,157.390962009572,0.407362052238751
03/31/2020,10:15 AM,162.15,162.57,162.09,162.48,286029,0,162.153994285714,162.655992335258,157.484527664742,0.380090096691511
03/31/2020,10:16 AM,162.4849,162.7,162.35,162.7,217662,0,162.464348571429,162.981628274297,157.599891725703,0.425655261454641
03/31/2020,10:17 AM,162.7,162.71,162.23,162.2788,266227,0,162.65013,163.167434709911,157.796315290089,0.381509819533103
03/31/2020,10:18 AM,162.26,162.44,162,162.25,253747,0,162.808298571429,163.327032005485,157.983727994515,0.196011199684442
03/31/2020,10:19 AM,162.24,162.705,162.205,162.44,288381,0,162.96418,163.484371625355,158.180398374645,0.161716512445592
03/31/2020,10:20 AM,162.43,162.72,162.31,162.67,189989,0,163.085212857143,163.598577446185,158.470192553815,0.189067370009285
03/31/2020,10:21 AM,162.68,162.69,162.45,162.6751,182986,0,163.192978571428,163.706365138866,158.723414861134,0.183118982054837
03/31/2020,10:22 AM,162.67,163,162.65,162.9499,272381,0,163.293705714286,163.794051573023,159.030718426977,0.237075945649195
03/31/2020,10:23 AM,162.94,162.9447,162.37,162.42,250502,0,163.274595714286,163.786348439251,159.345421560749,0.192958555143494
03/31/2020,10:24 AM,162.42,162.64,162.4,162.5,153793,0,163.244095714286,163.760157344017,159.669002655983,0.182277272314603
03/31/2020,10:25 AM,162.52,162.84,162.5,162.73,136013,0,163.224715714286,163.721323893179,160.017336106822,0.185604428851701
03/31/2020,10:26 AM,162.7396,162.85,162.4447,162.49,168320,0,163.12005,163.578766527374,160.441893472627,0.19606815551706
03/31/2020,10:27 AM,162.4899,163.09,162.44,162.73,399101,0,163.05467,163.448847429048,160.842812570952,0.130322676434125
03/31/2020,10:28 AM,162.75,162.92,162.59,162.612,165455,0,162.996661428571,163.375746973501,161.107113026499,0.105142950303906
03/31/2020,10:29 AM,162.615,162.95,162.58,162.75,177411,160.185852030168,162.974257142857,163.343707588652,161.306862411348,0.0990708837041459
03/31/2020,10:30 AM,162.74,162.93,162.67,162.86,106391,160.199666582422,162.931032857143,163.229303069954,161.617266930047,0.126626379589192
03/31/2020,10:31 AM,162.84,163.28,162.84,163.25,206947,160.382684519214,162.988237142857,163.266928268259,161.758641731741,0.219400638108656
03/31/2020,10:32 AM,163.25,163.5,163.23,163.34,288125,160.506452609801,163.065584285714,163.343244259266,161.841325740734,0.284139120847897
03/31/2020,10:33 AM,163.35,163.35,163.065,163.34,161978,160.584714865992,163.102207142857,163.340614670347,162.020965329653,0.2519841264949
03/31/2020,10:34 AM,163.35,163.49,163.3,163.46,165807,160.661033531563,163.193838571428,163.441483236147,162.051096763853,0.206106768456804
03/31/2020,10:35 AM,163.45,163.4599,163.12,163.23,133043,160.746610535895,163.257041428571,163.498130000008,162.069449999992,0.0816333265484496
03/31/2020,10:36 AM,163.22,163.3699,163.01,163.2063,142379,160.80270700589,163.327128571428,163.545323055927,162.072886944073,0.0909014322902691
03/31/2020,10:37 AM,163.21,163.47,163.135,163.45,100036,160.84316848775,163.393121428571,163.612114147415,162.123215852586,0.106243260473141
03/31/2020,10:38 AM,163.45,164,163.45,163.92,336760,160.959926312262,163.526788571428,163.770613175958,162.131716824042,0.256412383468151
03/31/2020,10:39 AM,163.9176,164.03,163.835,163.9976,341760,161.065886683737,163.67001,163.931254202945,162.126835797055,0.336806890660041
03/31/2020,10:40 AM,164,164.28,163.94,164.06,204216,161.137991837966,163.825568571429,164.089227303231,162.10786269677,0.337407648996098
03/31/2020,10:41 AM,164.0564,164.59,164.0564,164.5181,326423,161.261743421931,164.046855714286,164.337277348503,162.044112651498,0.340688617953747
03/31/2020,10:42 AM,164.511,164.73,164.25,164.58,280286,161.362595554005,164.28079,164.561585920505,161.982814079495,0.276914164325382
03/31/2020,10:43 AM,164.59,164.78,164.17,164.17,308699,161.458043632345,164.362304285714,164.643386508467,162.076013491534,0.239097165201341
03/31/2020,10:44 AM,164.18,164.27,163.81,163.95,270003,161.541107322429,164.385961428571,164.676667778587,162.187732221413,0.250247752431065
03/31/2020,10:45 AM,163.94,164.2,163.81,163.8199,169254,161.612388209279,164.387742857143,164.698415480096,162.274974519904,0.301056413316569
03/31/2020,10:46 AM,163.82,163.86,163.55,163.65,187394,161.677930687037,164.318401428571,164.667844162786,162.421545837214,0.321547137447648
03/31/2020,10:47 AM,163.655,163.93,163.57,163.84,192648,161.741607870033,164.291774285714,164.665013511227,162.535376488773,0.171425323675866
03/31/2020,10:48 AM,163.82,164.4186,163.81,164.37,200918,161.827080992831,164.335918571429,164.701084090691,162.675105909309,0.24188476926322
03/31/2020,10:49 AM,164.37,164.4399,164.21,164.31,180198,161.881926738396,164.357605714286,164.716442103899,162.815747896101,0.287581504283616
03/31/2020,10:50 AM,164.3,164.35,164.16,164.26,146697,161.958222808705,164.358721428571,164.71253462594,162.95965537406,0.286956442689025
03/31/2020,10:51 AM,164.2713,164.3,164.03,164.18,252399,162.036733118043,164.36398,164.727846487946,163.037343512054,0.186697616485346
03/31/2020,10:52 AM,164.17,164.41,164.16,164.2027,181799,162.10000981346,164.369168571429,164.743421347867,163.108038652133,0.0695416882082263
03/31/2020,10:53 AM,164.22,164.295,164.02,164.22,144138,162.192103848579,164.365245714286,164.750484878567,163.188975121433,0.0459178223535588
03/31/2020,10:54 AM,164.23,164.24,163.79,163.92,177281,162.279951213295,164.305037142857,164.738378617236,163.247081382764,0.12113086478715
03/31/2020,10:55 AM,163.9198,163.92,163.55,163.71,123798,162.335738380632,164.176257142857,164.690023175664,163.343436824336,0.200777205868196
03/31/2020,10:56 AM,163.72,163.9753,163.55,163.95,136179,162.401251447424,164.082821428571,164.617230209355,163.490599790645,0.1910423157407
03/31/2020,10:57 AM,163.96,163.9667,163.63,163.68,112637,162.450035659548,163.952988571429,164.586773653002,163.544056346998,0.194792196966331
03/31/2020,10:58 AM,163.67,163.72,163.0101,163.06,240144,162.537625565091,163.751727142857,164.702386767865,163.342443232135,0.320786533391318
03/31/2020,10:59 AM,163.08,163.12,162.71,162.885,258227,162.583809924235,163.538011428572,164.808570149011,163.124999850989,0.410263330064587
03/31/2020,11:00 AM,162.885,162.95,162.54,162.75,178724,162.651070194369,163.321358571429,164.894167962438,162.908402037562,0.467568176840368
03/31/2020,11:01 AM,162.75,162.83,162.28,162.355,206917,162.698255606077,163.095872857143,164.951203344989,162.635056655011,0.434320158411556
03/31/2020,11:02 AM,162.355,162.6,162.32,162.6,138165,162.755712979905,162.952978571429,164.903596341982,162.484663658018,0.241184576641427
03/31/2020,11:03 AM,162.5868,162.9502,162.56,162.85,149867,162.791515035274,162.843798571429,164.870146695721,162.386113304279,0.193664658621858
03/31/2020,11:04 AM,162.84,162.84,162.14,162.21,168065,162.835578247359,162.612618571429,164.917294217098,162.164965782902,0.239198662199754
03/31/2020,11:05 AM,162.205,162.39,162.1,162.335,120179,162.874918432178,162.4165,164.932212965036,162.001557034964,0.228188518552899
03/31/2020,11:06 AM,162.35,162.56,162.29,162.515,119777,162.909445159731,162.258032857143,164.929613392455,161.890656607545,0.220920800275825
03/31/2020,11:07 AM,162.54,162.95,162.525,162.93,147154,162.973073246956,162.211851428571,164.884399036006,161.844870963994,0.281364532243538
03/31/2020,11:08 AM,162.93,163.06,162.71,163.0591,136840,163.037953515737,162.255645714286,164.751335402009,161.846844597991,0.331282552503461
03/31/2020,11:09 AM,163.065,163.205,163.02,163.19,193243,163.095717400294,162.336477142857,164.619485665381,161.866694334619,0.326623161463405
03/31/2020,11:10 AM,163.17,163.23,162.74,163.0199,161320,163.13317063051,162.396718571429,164.478092368195,161.884077631805,0.229675693090913
03/31/2020,11:11 AM,163.0199,163.2,162.99,163.15,124858,163.173255140669,162.490837142857,164.342946501444,161.916223498556,0.0927670416070334
03/31/2020,11:12 AM,163.15,163.24,163.09,163.195,133660,163.199070004259,162.610297142857,164.189439705673,161.968960294327,0.0708725898892044
03/31/2020,11:13 AM,163.19,163.21,162.9713,163.09,87619,163.235207646481,162.726382857143,164.002292570412,162.043107429588,0.0662447099686509
03/31/2020,11:14 AM,163.089,163.19,163.04,163.13,96255,163.272042506682,162.83604,163.87462234885,162.09177765115,0.0591597971857288
03/31/2020,11:15 AM,163.125,163.22,162.7701,163.1,103596,163.290248209232,162.930411428572,163.782153798644,162.123246201356,0.0376297753945336
03/31/2020,11:16 AM,163.09,163.47,163.03,163.43,124491,163.303075994759,163.118782857143,163.656036139271,162.197363860729,0.125952371965695
03/31/2020,11:17 AM,163.4487,163.6,163.41,163.58,137057,163.33070741418,163.31544,163.631417693187,162.211982306813,0.201256055805353
03/31/2020,11:18 AM,163.58,163.61,163.34,163.46,83877,163.356453125962,163.42924,163.687506411906,162.195893588094,0.190682982980233
03/31/2020,11:19 AM,163.45,163.467,162.9198,162.95,102354,163.376908266792,163.425111428572,163.690306125615,162.199593874385,0.238042013081146
03/31/2020,11:20 AM,162.9562,162.98,162.62,162.695,129574,163.381152374692,163.359197142857,163.690811651003,162.193588348997,0.340523126967913
03/31/2020,11:21 AM,162.72,163.21,162.705,163.1,118643,163.390058056018,163.329782857143,163.680084394008,162.278815605992,0.325662401884625
03/31/2020,11:22 AM,163.09,163.25,162.68,162.725,119762,163.393851195505,163.244582857143,163.674818860584,162.296581139416,0.27991784508582
03/31/2020,11:23 AM,162.729,162.729,162.395,162.4304,127993,163.405355031127,163.127885714286,163.693494918921,162.235945081079,0.229682445123313
03/31/2020,11:24 AM,162.44,162.78,162.38,162.779,90476,163.413276412154,163.017922857143,163.641901994308,162.344438005692,0.214032842342461
03/31/2020,11:25 AM,162.8,162.88,162.4799,162.62,58724,163.41775639736,162.882802857143,163.608464566068,162.406375433932,0.219627998206211
03/31/2020,11:26 AM,162.63,162.86,162.51,162.83,68476,163.429069155619,162.800611428572,163.587140212312,162.459199787688,0.141546803545422
03/31/2020,11:27 AM,162.82,162.91,162.77,162.87,63739,163.453624573015,162.762848571429,163.58672315759,162.45361684241,0.161834661299243
03/31/2020,11:28 AM,162.861,163.08,162.861,162.94,83600,163.463423349635,162.751852857143,163.581509428917,162.446920571083,0.107644600425212
03/31/2020,11:29 AM,162.945,163,162.915,162.97,99664,163.471360049042,162.76122,163.564953274547,162.441476725454,0.123385574508002
03/31/2020,11:30 AM,162.957,163,162.93,162.95,62010,163.474730211721,162.753005714286,163.561869195859,162.437570804141,0.0530659966335416
03/31/2020,11:31 AM,162.94,163.055,162.9325,163.03,83152,163.475724365941,162.773657142858,163.551872558375,162.435567441625,0.0515363948206649
03/31/2020,11:32 AM,163.034,163.034,162.53,162.668,99044,163.471371079413,162.733294285715,163.534708491915,162.400031508085,0.125738776842641
03/31/2020,11:33 AM,162.67,162.788,162.54,162.69,77059,163.467188867476,162.694045714286,163.524130057922,162.370609942079,0.15155936130289
