Date,Time,Open,High,Low,Close,Volume,"Simple Moving Average - SMA - SMA(20)","Volume Adjusted Moving Average - VAMA - VAMA(15)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)"
03/02/2020,11:03 AM,165.14,165.22,164.86,165.05,131718,165.089995,165.257151542661,165.869685560382,164.310304439618
03/02/2020,11:04 AM,165.06,165.415,164.995,165.39,104903,165.144995,165.276889881283,165.842002582404,164.447987417596
03/02/2020,11:05 AM,165.43,165.475,165.255,165.31,106336,165.182495,165.278399934499,165.828402168168,164.536587831832
03/02/2020,11:06 AM,165.3,165.42,164.9372,165.39,121537,165.213995,165.28993922595,165.835395297643,164.592594702357
03/02/2020,11:07 AM,165.35,165.41,164.99,165.145,94207,165.234245,165.285787375497,165.817782393708,164.650707606292
03/02/2020,11:08 AM,165.18,165.3602,164.92,165.18,110093,165.263135,165.268934090734,165.770943713096,164.755326286904
03/02/2020,11:09 AM,165.2,165.22,164.55,164.56,146516,165.23685,165.189768481904,165.826501773507,164.647198226493
03/02/2020,11:10 AM,164.56,164.855,164.4,164.83,96016,165.21435,165.149566792192,165.8294899955,164.5992100045
03/02/2020,11:11 AM,164.825,165.28,164.81,165.0525,95538,165.207975,165.081633376176,165.827036993264,164.588913006736
03/02/2020,11:12 AM,165.07,165.92,165.04,165.6525,203813,165.2281,165.103674631907,165.876779400025,164.579420599975
03/02/2020,11:13 AM,165.69,166.07,165.64,166.03,163824,165.2556,165.191117224952,165.986132657711,164.525067342289
03/02/2020,11:14 AM,166.0861,166.21,165.83,166.1585,103859,165.282025,165.25562026303,166.098049173334,164.466000826666
03/02/2020,11:15 AM,166.16,166.5413,166.12,166.42,134540,165.331545,165.381952869609,166.285865844313,164.377224155687
03/02/2020,11:16 AM,166.39,166.88,166.39,166.8023,133474,165.38144,165.509193985734,166.516638622978,164.246241377022
03/02/2020,11:17 AM,166.82,167.02,166.4988,166.57,205161,165.42444,165.646322773714,166.66630333936,164.18257666064
03/02/2020,11:18 AM,166.555,166.7642,166.16,166.2664,149648,165.48876,165.733320897503,166.764671536741,164.212848463259
03/02/2020,11:19 AM,166.2581,166.58,166.21,166.4361,121520,165.560065,165.794454883232,166.879633499595,164.240496500405
03/02/2020,11:20 AM,166.5,166.6,166.09,166.27,108469,165.634565,165.846308881786,166.937700175322,164.331429824678
03/02/2020,11:21 AM,166.2624,166.7878,166.262,166.7848,87753,165.722805,165.91682240908,167.085187537299,164.360422462701
03/02/2020,11:22 AM,166.78,166.85,166.29,166.4398,105736,165.786895,165.981934940487,167.157541378143,164.416248621857
03/02/2020,11:23 AM,166.485,166.86,166.38,166.82,117624,165.875395,166.076621963617,167.272606807106,164.478183192894
03/02/2020,11:24 AM,166.82,166.96,166.73,166.8918,146854,165.950485,166.249849502059,167.395871095525,164.505098904475
03/02/2020,11:25 AM,166.893,167.12,166.55,166.73,166717,166.021485,166.355681903812,167.473539229395,164.569430770605
03/02/2020,11:26 AM,166.71,166.978,166.69,166.9,164167,166.096985,166.456887000836,167.566768502787,164.627201497213
03/02/2020,11:27 AM,166.89,167.08,166.75,166.875,164553,166.183485,166.569113428523,167.622283431017,164.744686568983
03/02/2020,11:28 AM,166.85,167.08,166.85,166.94,141476,166.271485,166.637740173313,167.668707775757,164.874262224243
03/02/2020,11:29 AM,166.95,167.1,166.95,167.04,131673,166.395485,166.687149566719,167.588386657761,165.202583342239
03/02/2020,11:30 AM,167.01,167.05,166.5,166.9349,139470,166.50073,166.720972060961,167.473742526319,165.527717473681
03/02/2020,11:31 AM,166.97,167.22,166.61,167.22,140396,166.609105,166.749283977512,167.373152546865,165.845057453136
03/02/2020,11:32 AM,167.22,167.23,166.76,167.05,140452,166.67898,166.788276296763,167.327129401293,166.030830598707
03/02/2020,11:33 AM,167.06,167.2,166.7005,166.77,128061,166.71598,166.826061956755,167.292212215684,166.139747784316
03/02/2020,11:34 AM,166.76,167.015,166.65,166.8,130053,166.748055,166.847914326525,167.264952887288,166.231157112712
03/02/2020,11:35 AM,166.77,167.04,166.43,166.62,119105,166.758055,166.865472860594,167.256591885167,166.259518114833
03/02/2020,11:36 AM,166.61,166.92,166.35,166.6314,112381,166.74951,166.85608842769,167.250572602445,166.248447397555
03/02/2020,11:37 AM,166.66,166.91,166.64,166.77,128317,166.75951,166.872006006183,167.253780099835,166.265239900165
03/02/2020,11:38 AM,166.77,166.95,166.74,166.88,96906,166.79019,166.875366917279,167.231562807969,166.348817192031
03/02/2020,11:39 AM,166.9,167.3998,166.9,167.24,191970,166.830385,166.907616497709,167.281757645499,166.379012354501
03/02/2020,11:40 AM,167.22,167.5,167.2,167.33,147178,166.883385,166.951821827337,167.30719866788,166.45957133212
03/02/2020,11:41 AM,167.34,167.36,166.85,167.1,145307,166.899145,166.966422901009,167.33049766999,166.46779233001
03/02/2020,11:42 AM,167.08,167.17,166.81,167.0036,115982,166.927335,166.976058748451,167.305315191377,166.549354808624
03/02/2020,11:43 AM,167.005,167.2,166.93,166.96,113653,166.934335,166.977712701676,167.309278015772,166.559391984228
03/02/2020,11:44 AM,166.96,167.19,166.92,167.14,123309,166.946745,166.983699870015,167.331535859932,166.561954140068
03/02/2020,11:45 AM,167.11,167.4499,167.09,167.41,162221,166.980745,167.021769981722,167.401417516199,166.560072483801
03/02/2020,11:46 AM,167.42,167.4499,167.05,167.18,170609,166.994745,167.021357621905,167.422317129426,166.567172870574
03/02/2020,11:47 AM,167.22,167.52,167.22,167.345,249585,167.018245,167.057313807266,167.467997004841,166.568492995159
03/02/2020,11:48 AM,167.34,167.75,167.34,167.59,136391,167.050745,167.108386593727,167.562807658158,166.538682341842
03/02/2020,11:49 AM,167.595,167.75,167.39,167.6856,144889,167.083025,167.165731251648,167.664940161757,166.501109838243
03/02/2020,11:50 AM,167.69,167.75,167.53,167.65,116722,167.11878,167.222111974464,167.746008429194,166.491551570806
03/02/2020,11:51 AM,167.66,167.75,167.57,167.63,99251,167.13928,167.271996955874,167.804076647382,166.474483352618
03/02/2020,11:52 AM,167.62,167.75,167.52,167.7275,153196,167.173155,167.333919209162,167.883768038095,166.462541961905
03/02/2020,11:53 AM,167.71,167.75,167.52,167.55,114374,167.212155,167.36536677654,167.915562797716,166.508747202284
03/02/2020,11:54 AM,167.56,167.88,167.54,167.82,123120,167.263155,167.403197192629,167.987240139914,166.539069860086
03/02/2020,11:55 AM,167.79,168.21,167.75,167.97,244012,167.330655,167.470574164577,168.054029446522,166.607280553478
03/02/2020,11:56 AM,167.98,168.5,167.98,168.46,184688,167.422085,167.575628289229,168.22652600164,166.61764399836
03/02/2020,11:57 AM,168.455,168.48,168.235,168.35,147994,167.501085,167.654851688037,168.343298515193,166.658871484807
03/02/2020,11:58 AM,168.3599,168.48,168.08,168.0997,139075,167.56207,167.71583595341,168.392109512564,166.732030487436
03/02/2020,11:59 AM,168.11,168.41,168.1,168.29,119461,167.61457,167.776382749607,168.48816669898,166.74097330102
03/02/2020,12:00 PM,168.29,168.53,168.14,168.51,135583,167.67357,167.846108282718,168.618773762399,166.728366237601
